id,predicted_category,original_text,true_label
http://resolver.kb.nl/resolve?urn=KBPERS01:003255001:mpeg21:a00041:ocr,Is not about food,"Kok zegt steden de wacht aan * Drugs wetten gelden ook voor burgemeesters' Van onze politieke redactie Den Haag - Premier Kok heeft de burgemeesters duidelijk gemaakt dat zij zich op het gebied van drugs 'maar beter aan ' de wet kunnen houden'. Volgens Kok zal justitie geen experimenten met legale aanvoer van wiet aan coffeeshops toestaan. De premier zei dat gisteren in een reactie op het voorstel van 60 burgemeesters, die coffeeshops legaal willen laten bevoorraden. Kok ziet niets in een door de Tweede Kamer aangenomen motie over het onder toezicht produceren van nederwiet voor de coffeeshops. Volgens Kok mag het drugsbeleid in de ene gemeente niet te veel afwijken van dat in een andere. ""Anders wordt het een lappendeken. Iedereen dient zich aan de wet te houden. Dat geldt ook voor burgemeesters"", aldus de premier. ""Mocht een burgemeester daar anders over denken, dan zal minister van Justitie Korthals zijn verantwoordelijkheid kennen."" Kok wees erop dat het Nederlandse beleid internationaal heel gevoelig ligt. ""Dat gaat verder dan bedenkingen van een staatshoofd of premier."" Volgens hem bepaalt het internationale klimaat de mate waarin Nederland kan afwijken. ""Die ruimte is kleiner dan de Kamer denkt. Als Nederland het telen van wiet legaliseert, zou ons dat verder verwijderen van Europa"", aldus de premier. Kok: ""Nederland heeft wel begrip weten te kweken en het eindresultaat van het gedoogbeleid is positief. Nieuwe ideeën worden in ons land als interessant ervaren, maar in het buitenland ligt dat lastig."" Kok wil het wankele evenwicht tussen Nederland en Europa niet verstoren. Zo leiden open grenzen bijvoorbeeld ook tot drugstoerisme en wil Nederland zich niet de wet laten voorschrijven over het te voeren drugsbeleid. Kok kondigde aan dat de ministeries van Justitie en van Binnenlandse Zaken zich deze zomer verder over het probleem buigen. Burgemeesters en het Openbaar Ministerie worden ook bij dat overleg betrolcken. De Kamer krijgt na de zomer een uit-1 voerige brief over het onderwerp. De PvdA legt zich niet op voorhand neer bij het niet uitvoeren van de motie. Het Kamerlid Apos-! tolou wacht de precieze motive-1 ring van de weigering van het kabinet af, maar zal daarna een debat aanvragen om te proberen de: regering te overtuigen van zijn' gelijk. De PvdA wil in de ons om-' ringende landen peilen hoe daar' wordt gereageerd op een eventueel Nederlands experiment met1 het legaliseren van softdrugs.",Is not about food
http://resolver.kb.nl/resolve?urn=KBPERS01:003189021:mpeg21:a00027:ocr,Is not about food,"Geen toelating om hongerstaking' Den Haag - Een hongerstaking 'an er niet toe leiden dat een afge*Ken asielzoeker alsnog een verblijfsvergunning krijgt. Een asielverzoek wordt zorgvuldig beoorWd, en de Nederlandse asielprocedure kent voldoende waar*>rgen dat terugkeer naar het vaderland verantwoord is. Dat heeft teatssecretaris Kalsbeek (justille) in een brief aan de Tweede Kamer geschreven over vijf Iraakse TMngerstakers in Waddinxveen en ^Phen aan den Rijn, die al 79 daBen niet eten.",Is about food
http://resolver.kb.nl/resolve?urn=KBPERS01:003192027:mpeg21:a00278:ocr,Is not about food,"Advertentie Wij kunnen geen enkele AANSPRAKELIJKHEID aanvaarden, voor schade van welke aard dan ook, ontstaan door het niet tijdig of onjuist plaatsen van advertenties. Te huur bedrijfspand in kleine gemeente nabij Rotterdam op A1-locatie. 1275 m2 incl. parkeerplaats. Br.o.nr. 21429898 bur. v.d. bl. Uw bedrijf in de problemen? Bel S.B.M Tel: 0524-534311. WA i hnUVbHLAb I H Drijvende pomp 25kg / 1.150 Itr/min. Benzine motor. Uit voorraad leverbaar, www.kobrafire.com / 0181-408888 Uw eigen verhuur bedrijf. Vaste inkomsten. Minimale investering. www.Formidabel.nl - KOEL/VRIESCONTAINERS 3, 6 en 12 m, alle soorten, ook diesel-elektr. 010-4622919. Met I iPb adverteert u landelijk tegen een uitermate laag tarief Horeca BUIMNtWI IS HUHtCA CENTRUM. In- en verkoop van apparatuur en meubilair, nieuw en gebruikt. 010-5116769. Plaats een IIP en bereik 1,3 miljoen lezers! Bedrijf verkopen of taxeren? SIMA BEED. HOR. MAK.R.Z. 010-5910824/070-3298824 Snackbar met 4 kmr. woning. Omzet ƒ 700.000,- per jaar. ARKENBOUT 010-4853993. Speelgoed MAMMOET skelters v.a. ƒ449,*Meer dan 50 modellen. Folder/dealerlijst 0342-491118. Info: www.mammoetskelters.nl Met uw Zakelijke Tip bereikt u 1,3 miljoen lezers van 13 jaar en ouder. TIPS-fax: 010-406.6965. Boeken en tijdschriften Boekh. ""Delfshaven"" koopt en haalt uw BOEKEN, CD's, LP's, strips. 010-4767879 / 4424499. oerisme- en Watersport Ups erschijnen van maandag tot n met vrijdag. Computers en accessoires 18e Super PC Discount Jè computerkoopiesbeurs. Zaterdag + zondag 1 + 2 sepember, 1017 u. Rotterdam - AHÖY. Direkte verkoop van lard- & software. Alles moet weg tegen de allerlaagste prijzen. Prijzenfestival (Win een Pentium PC), speciale aanbiedingen, weggeefartikelen. Internet, GSM, DVD, (Video-) 3ames. Informatie ? demonstratie. Reduktiebon op «ww.pcdiscount.nl Eindelijk, een echte Apple win<el! Enorm veel producten, deskundig advies en zaterdag open van 10 tot 5. Opening: zaterdag 1 september! Kom angs! Apple SuperStore. Kroonstraat 36, Etten-Leur, tel. 376-5044045. Apple SuperStore. Nieuw in Nederland! Dit zag u nog nooit. Enorm veel producten, des<undig advies én za. open van 10 tot 5. Kroonstraat 36, Etten_eur, tel. 076-5044045. Opening: zaterdag 1 september! nkt cartridges en re-fill systemen voor HP Epson, Canon, .exmark tot 60% goedkoper. «ww.inktec.nl Kunst en antiek KUNSTRONDJE Dordt a.s. zondag 12.00-17.00 uur, zie: «ww.kunstrondjedordt.nl Financieringen DRAAT met de specialist van Assfibo om uw (geld)zorgen te /erlichten. 010-4791400 «wwTassfibo.nl 3eld LENEN? Bel KFM en samen komen we er wel uit. rel.010-4795018 «ww.kfmfinancieringen.nl -INANCIERING of Hypotheek. 3e Lydios Leenlijn. Tel. 0783530800. Woninginrichting SCHAPENLEREN clubs en auteuils Temfay Hoofdweg 329, Hoofddorp 023-5613354. TAPIJTTEGELS; o.a. Heuga, Esco enz. al v.a. ƒ3,95 p.st. TTH-Hüco B.V., Bergweg 294298 Rotterdam, 010-4670320, Goirkestraat 1A Tilburg 0135436903. Projectafdeling 0765714052. Toonzaal Aphroditestraat 39-41 Tilburg, 0135719026; www.tth-huco.nl. Inbouwapparatuur, kookplaten, ovens, vaatwassers, koeling, tot 70% korting. Nieuwe en occasion gashaarden v/a ƒ395,- met 2 jaar garantie. Mathenesserweg 76-78. 0104152219. Bergselaan 317-319 vrij. koopavond 010-2439088. Ned. grootste collectie originele Engelse CHESTERFIELDS. Springvale, Wachtelstraat 54, Gouda. Telef.: 0182-686873. www.springvale.nl Keukens Licht beschadigde inbouwapparaten voor in de keuken. Alleen topmerken met kortingen tot 70%. Opruiming ovens met keramische of hallogeenkookplaat. Nu compleet vanaf ƒ699,-. Alles met volledige garantie. Keuken Inbouw Specialist b.v. Prinsegracht 144 Den Haag tel. 070-389 38 72. Dieren en ■benodigdheden De meeste (baby) PAPEGAAIEN bij Rentenaar! betaal over 1 jaar zonder rente 06-53469932 www.rentenaar.com Goed tehuis gez. voor 2 lieve rode binnen POEZEN (10 jaar) 06-25086037 Opleidingen en cursussen wvwv.opleiding-webdesign.nl www.flashspecialist.nl www.internetprogrammeur.nl rhANob conversatieles, wnt u beter Frans leren spreken meld u zich dan bij onze kleine clubs waar wij in een ontspannen sfeer Frans leren spreken (Den Haag).' Inl. 070-3257448. U kunt nu auditie doen voor de drie- vierjarige opleiding spel en regie Rotterdams Centrum voor Theater. Informatieavonden 4 en 11 september 010-4773891. Makelaar worden? Betaalbaar bij IPD: www.ipd-opleidingen.nl 030-2447730. DANSLESSEN Salsa & Merengue m.i.v. 24 sept. in R'dam (ook in Den Haag, Delft & Z'meer). Aanvraag brochure, 010-2449694. Danscentrum Salseros, www.salseros.nl TAI CHI C'HVAN als je op zoek ben naar lichamelijk en emotioneel balance. Atelier 2000 Dordrecht. 06-12377935 24 sept start een nieuwe opleiding tot NAGELSTYLISTE info: 010-4231479 (ma-vr 9-20uur). SALSA LES in café Makaveli, Eendrachtsweg 31a, R'dam. Aanv. dinsd. 4/9. 06-24257617. Tips verschijnen elke dag in deze krant. Wilt u een overzicht van de formaten en de bijbehorende tarieven dan kunt u deze schriftelijk aanvragen bij de Afdeling Gerubriceerde Advertenties, Postbus 8985, 3009 TE Rotterdam. U kunt ook bellen 010406.6066 of faxen naar 010406.6965.",Is not about food
http://resolver.kb.nl/resolve?urn=KBPERS01:003244006:mpeg21:a00034:ocr,Is about food,"Eerste verjaardag Maxima en Jamo, net als prinses Amalia geboren op 7 december 2003, vieren hun eerste verjaardag wel uitbundig. Hun moeders vertellen over hun eerste jaar. ad| FOTOPAULBERGEN FOTO RUBEN SCHIPPER Wijzen naar de magnetron Maxima Siouane uit Amsterdam Hoogtepunt: naar buiten in de kinderwagen Verjaardagscadeau: Een poppetje met haar Moeder Nabila Siouane: ""Maxima kon met tien maanden al lopen. Nu praat ze ook een beetje. Ik ben Algerijnse en spreek Arabisch met haar. Ze zegt 'eten' in onze taal, dat klinkt als nène. Als ik haar eten warm moet maken, wijst ze met haar vingertje naar de magnetron en zegt 'warm maken'. Ze begrijpt alles. Als ze met haar vader aan de telefoon zit, zegt ze steeds'papa, papa'. Ik ben een alleenstaande moeder, maar Maxima ziet haar vader wel. Hij houdt veel van haar. En Maxima van hem. Van iedereen trouwens, ze is dol op mensen. Ze is absoluut niet verlegen.Op Maxima's verjaardag komen zo'n tien mensen. Een vriendin van mij heeft al een taart gekocht. Van mij krijgt mijn dochter een poppetje met haar. Ze speelt graag met poppen. "" Ziek en ook al geen vlag Jamo Jansen uit Putten Hoogtepunt: Op vakantie in het zwembad Verjaardagscadeau: Boerderij met dieren en geluidjes Moeder Wilma Jansen: ""Jamo is ziek. Hij heeft waarschijnlijk griep. Jammer, de vlag kon al niet uit met zijn verjaardag omdat Prins Bemhard is overleden. Verder heeft hij nooit wat. Jamo is altijd vrolijk, een heel actief mannetje. Hij kan echt tegen je praten in zijn eigen taal. Als ik dan zeg: 'oh, ja', brabbelt hij weer terug. Sinds vorige week kan hij los staan, maar lopen doet hij nog langs de banken en de tafel. Ik denk dat het hoogtepunt in zijn leven onze vakantie in Lommerbergen van Center Parks was. Hij heeft lekker in het zwembad gelegen. Hij is gek op water. Ook leuk was zijn eerste keer aan zee. Maar ja, eigenlijk zijn alle 'eerste keren' een hoogtepunt. Voor het eerst in de kinderstoel, in een autostoel, los staan. Zijn leven is één grote ontdekkingsreis."" Een gemakkelijke baby Prinses Catharina-Amalia uit Wassenaar Hoogtepunt: Doop in juni Verjaardagscadeau: Gedicht 'hier ben ik' voorgelezen door dominee Carel ter Linden Prinses Catharina-Amalia, roepnaam Amalia, is de bekendste 1jarige van Nederland. Niet alleen papparazzi, maar ook haar vader en moeder filmen en fotograferen hun trots onophoudelijk. Haar moeder zei zes weken na haar geboorte al dat Amalia een makkelijke baby was. ""Ze huilt weinig, alleen als ze wil eten. En als ze wil eten, wil ze heel veel."" Maxima noemt haar niet voor niets 'mijn mooie dikkerdj e'. Geeuwend onderging Amalia haar doop in juni en zondag zwaaide ze, op de arm van haar vader, naar de lijkwagen van haar overgrootvader. Dik ingepakt tegen de Oostenrijkse kou. Naar de doop van neefje ClausCasimir. Op vakantie bij oma in Italië. FOTO'S ANP",Is not about food
http://resolver.kb.nl/resolve?urn=KBPERS01:003218024:mpeg21:a00029:ocr,Is about food,"'Lekker Hollandse stamppot eten' Nieuwe Rotterdammer: Tong Wei Yong (45) uit China. Rotterdammer sinds vier jaar. Oude Rotterdammer: Sef Seuren (55). Rotterdammer sinds 17 jaar. Tong en Sef hebben hun eerste uitje nog voor de boeg. De twee leerden elkaar kennen toen Tong voor de zomercursus een filmpje moest maken over het project Welkom in Rotterdam. Het klikte. Sef is geïnteresseerd in China en wil graag Chinezen leren kennen, Tong moet zijn Nederlands opvijzelen. Sef is in het project een paar keer op pad gegaan met een Afrikaanse. Hij nam zijn vorige maatje mee naar het Nederlands Architectuur Instituut. ""Er was een tentoonstelling over polders. Dat was interessant want aan de hand daarvan kon ik het ontstaan van Nederland uitleggen."" Dat de nieuwe Rotterdammers het Nederlands nog niet goed beheersen, ondervond Sef toen hij met de nieuwe Rotterdamse wilde afspreken in het Doelencafé. Tot twee keer kwam ze niet opdagen. Wat bleek: de dame zat in café Dudok. ""Doelen en Dudok, het begint allebei met Doe. Dat was de spraakverwarring"", zegt Sef lachend. Tong wil hij thuis uitnodigen om Hollandse stamppot te komen eten. De Chinees, die met moeite Nederlands kan verstaan, knikt enthousiast als hij het voorstel van Sef hoort. ""Lekker eten!"" Hij heeft de belangrijkste woorden als eerste geleerd. j Tong Wei gaat stamppot eten bij Sef Seuren. foto s arie kievit",Is about food
http://resolver.kb.nl/resolve?urn=KBPERS01:003565012:mpeg21:a00369:ocr,Is about food,"Asperges Eten NIET IEDEREEN witwitte, vn] stevige asperges. De Britse kookgoeroe Elizabeth David vond dat, als je onverhoopt met een lading van 'die dikke witte stengels' kwam te zitten, je ze maar het beste koud kon serveren, met handgeklopte mayo. Voor haar geen polonaise. Aspergefans rijden voor dag en dauw naar het zuiden om een kistje versgestoken asperges te halen. Ze hebben gelijk: hoe verser, hoe beter. En hoe zoeter, hoe lekkerder. Juist die zoete asperges komen, vindt men, uit de streek die begint bij de markiezenstad Bergen op Zoom (waar men graag het bekende AAAdiner aanbiedt: asperges-ansjovis-aardbeien) en doorloopt tot het puntje van Limburg. Als je niet zuidwaarts reist, maar aangewezen bent op lokale groentewinkels, zou je eigenlijk een stengel uit kist of bos moeten halen. En het steeltje ervan afbreken! Alleen stevige stengels, waarvan het houtige onderstuk) e in een korte, droge knak afknapt zonder door te buigen, mogen mee naar huis. senn asperges aiuju royaal, ui ferme halen. Hollands-zuinig schillen levert straks onherroepelijk de beruchte 'scheermesjes' op. Geschilde asperges horen te blinkeren van het sap. Je ruikt dan die onmiskenbare, zoete geur al. Kook per persoon 10 asperges gaar in een hoge (asperge)pan, met het aspergeafval erbij. Drapeer een paar mooie plakken beenham als een harmonica op grote borden. Zorg dat de ham tegen kamertemperatuur is (te koude ham laat zijn smaak niet los). Klop een vinaigrette van milde olijfolie, witte (liefst mousserende) wijn, twee tot moes geprakte eidooiertjes en een likje zachte mosterd. Leg de gare asperges naast elkaar op de harmonica-ham. Hak wat peterselie fijn en strooi die in een 'groene streep' net onder de aspergepunten. Giet de dressing in dunne spiralen over de asperges. Smullen. Alma Huisken",Is about food
http://resolver.kb.nl/resolve?urn=KBPERS01:003225015:mpeg21:a00124:ocr,Is about food,"Waarom Franse vrouwen niet dik worden Waarom worden sterren als Isabelle Adjani, Laetitia Casta en Julliette Binoche niet dik? Omdat ze Frans zijn, luidt het antwoord van Mireille Guiliano. Ze schreef er een boek over. ""Na drie happen zijn de smaakpapillen verzadigd, de rest zit tussen je oren. Fransen kunnen maat houden."" Door Karin Kuijpers Amsterdam - Ze is een ieniemienie fran^aise van 1.60 meter lang en weegt schoon aan de haak 5 o kilo. Mireille Guiliano heeft genetisch geluk, net als de meeste Franse vrouwen, zeggen wij Nederlandse breed gebeeldhouwde vrouwen dan vol jaloezie. En wanneer we hun leefpatroon zien, worden we nog groener. Ze bewegen niet, lopen altijd op stiletto's, zitten dagelijks in restaurants, drinken altijd - tenminste zo lijkt het - en vinden 40 een maat voor olifanten. Mireille Guiliano past zo in het plaatje. Ze is directeur voor het Franse champagnehuis Veuve Clicquot in New York, gaat 3 o o keer per jaar uit eten en haar maaltijden bestaan inderdaad niet alleen uit mineraalwater en krulsla. Maar ook zij weet wat overgewicht is. ""Toen ik als student een jaar in Amerika doorbracht, laafde ik mij aan chocola en brownies en kwam 10 kilo aan. Ik weet nog dat ik met de S S Rotterdam in Le Havre aankwam en mijn vader en mijn broer me op stonden te O LU11UC11 IV, wachten. Toen ik naar mijn vader liep, staarde hij me aan en zei'je lijkt op een zak aardappels'. Niets is op je 19de pijnlijker om te horen."" Haar moeder vond een bevriende huisarts bereid Mireille van haar overtollige kilo's af te helpen. Drie weken lang moest ze alles opschrijven wat ze at. ""Hij ontdekte dat ik alleen maar banket at, dat had ik zelfnietinde gaten, 's Morgens een croissant, 's middags een tarte aux pommes en een éclair na het avondeten. Bijna nooit groenten en fruit. Tij d om af te kicken, maar de dokter wilde niet dat ik ging diëten."" Volgens de dokter Wonder zoals Guiliano hem noemt, heeft ieder van ons twee kanten. De ene wil gezond en slank zijn, de andere kant wil uitbundigheid en verwennerijen. De kunst is niet om de ene kant te verslaan, maar om die twee kanten van j ezelf in het reine te brengen en om zowel j e wilskracht als je hang naar verwennerij de baas te worden. ""Diëten is voor de dommen, zei hij, omdat ze op radicale lijnprogramma's zijn gebaseerd. De Franse manier van leven is altij d evenwichtig geweest. In Amerika voelen mensen zich veel sneller aangetrokken tot extreme maatregelen. Ze raken uit hun zone, vallen van hun piramide of raken de calorietel kwijt. Mijn dokter Wonder verbood me niets, maar wilde dat ik mijn banketgedrag ging minderen en schreef me ook een dag in de week een preisoep voor. Prei is namelijk voedzaam en bevat weinig calorieën. In Amerika weten de meeste men-rt1 sen niet eens wat een prei is."" De ideeën van dokter Wonder werkten, Guiliano verloor 10 kilo, ging weer in Amerika wonen, maar hield de Franse levensstijl aan en bleef tot op heden op gewicht. In de loop der jaren heeft ze zoveel mensen van overtollige kilo's afgeholpen dat ze steeds meer in een boek ging geloven. De kern van 'Waarom Franse vrouwen niet dik worden' is dat ze nooit met een schuldgevoel van tafel gaan en hun hersens erbij houden. Guiliano: ""Wij gebruiken al onze zintuigen bij eten. We zorgen voor een gezellige tafel met kaarslicht en een glas wijn, we laten de televisie uit want concentreren ons op het eten en ruiken, voelen en proeven elke hap die we naar binnen nemen. We eten met al onze vijf zintuigen. Onderzoek heeft uitgewezen dat de smaakpapillen van een mens al na drie happen van een gerecht zijn bevredigd, de rest is nodig om een psychologische trek te stillen. De kunst is om je eetlust zowel te stillen als in bedwang te houden."" Makkelijk gezegd. Maar dat motto lijkt ook wel op de leuze 'elk pondje gaat door het mondje' dat in Nederland in de j aren 70 veel werd gebruikt. ""Ja, het komt op hetzelfde neer. Minderen maar wel breed blijven eten. En drinken, want doorgaans drinken we veel te weinig water en verwarren honger vaak met dorst. Dan zeg ik altijd 'drink eerst een glas water, heb je na 15 minuten nog trek, drink dan nog een glas water en wacht weer een kwartier. Wie dan nog trek heeft, moet eten. Soepen zijn belangrijk in de levensstijl van de franijaise. Een dag in de week een soepdag is een verrukkidluke compensatie voor een mooi diner, vindt Guiliano. ""Neem drie maanden de tijd om je voedingspatroon te verminderen, anders krijgt je lichaam een schokeffect wat slecht is. Leg de nadruk op kwaliteit in plaats van kwantiteit. Eet friet of pizza wanneer u trek heeft, maar niet drie dagen achter elkaar. En het geheim van de Fransen is nog altijd joie de vivre. Levenslust en genieten van liefde is net zo belangrijk als het respect voor kleur, variatie en manier waarop eten wordt gepresenteerd."" Waarom Franse vrouwen niet dik worden, Mireille Guiliano, uitgeverij Archipel, ISBN 9063051522. 'Diëten is voorde dommen'",Is about food
http://resolver.kb.nl/resolve?urn=KBPERS01:003577011:mpeg21:a00007:ocr,Is not about food,"Horeca is strenge controles beu Economie Restaurants en eetcafes worden stapelgek van de veel te strenge controles van de Voedsel en Waren Autoriteit Ze worden bedolven onder een overkill aan regels die een horeca-ondememer gemiddeld 14.000 euro per jaar kost Horeca Nederland sloeg hierover gisteren alarm in de Tweede Kamer. Nederland is zelfs strenger da n Europa eist, zegt beleidsmedewerker Aijen van den Dool. Pagina 8",Is about food
http://resolver.kb.nl/resolve?urn=KBPERS01:003169003:mpeg21:a00233:ocr,Is about food,"Comedy-aanbod in één hand Delft - De impresariaten A Night of Comedy (onderdeel van Mojo) en Comedy Café Amsterdam hebben hun 'stallen' samengevoegd tot de Lucky Strike Comedy Night. Meer dan 60 comedians uit Nederland, Amerika, Canada, Engeland en Nieuw-Zeeland doen eraan mee.",Is not about food
http://resolver.kb.nl/resolve?urn=KBPERS01:003286012:mpeg21:a00214:ocr,Is about food,"aanbevolen Winkelen Het centrum van Almere bestaat uit een groot, deels overdekt winkelcentrum, dat grotendeels voetgangersgebied is. Je vindt er alle winkels die bij een beetje stad horen. Dat is inclusief warenhuizen (behalve de Bijenkorf) en heel veel andere bekende namen. Eigenlijk hebben ze er alles. Van de Volendamse visboer tot de Indonesische toko. Er zijn meerdere muziekwinkels, heel veel kleding- en schoenenzaken en voldoende eet- en drinkadresjes. Maar er zijn ook bijzondere winkels. Ali B. gaat regelmatig naar het winkelhart van Almere. Hij koopt er zijn cd's, zijn favoriete schoenen en met zijn vrienden duikt hij geregeld het avond (of nacht)leven in. Tegenover zijn favoriete winkel Coach (Bottelaarpassage) zit Pasquino donna & uomo met collecties van o.a. Versace, Dolce & Gabbana en Armani. Ali B. koopt er weleens een colbertje of effen shirtje. Een paar deuren verder zit nog een Pasquino, maar die heeft alleen casual. Voor dvd's en spelletjes gaat Ali B. naar de Free Record Shop (Stationsstraat). Platenhuis 't Oor (Brouwerstraat) is gespecialiseerd in o.a. R&B, sixties en punk, verkoopt tweedehands ïp's voor een paar euro en T-shirts. Duizenden stripboeken, cadeautjes en cartoons heeft Het Beeldverhaal (Zoetelaarpassage) in huis: van Betty Boop tot Nijntje. Overbuurman Britain is onder meer gespecialiseerd in hiphopkleding. Nachtleven Als eerste opende disco Eindelijk ('de naam zegt 't al) de deuren. Nu telt Almere een aantal danscafés en discotheken, waarvan de meeste te vinden zijn op en rondom de Grote Markt. Men at Work (mét terras) heeft als beste danscafé van Nederland de Nightlife Award 2005 binnengehaald. Elke vrijdagavond r&b urban dj's en dansers. Het trendy ingerichte Ik houdt veel thema-avonden. Bij Anno (eten, drinken, dansen en slapen) staat de muziek zacht genoeg om lekker te kunnen praten.",Is not about food
