id,predicted_category,original_text,true_label
429,Is not about food,"Vlaams café moet verdwijnen Eén van de laatste Nederlandstalige cafés in Brussel moet verdwij nen, uitgerekend om plaats te maken voor een VlaamsNederlands cultuurhuis. Van onze correspondent Brussel ■Stamgast Johannes komt er al 14 jaar. ""Op mijn werk spreek ik enkel Frans"", zegt hij meteen pint in de hand. ""Hier kan ik tenminste nog Vlaams praten."" Café Dada, net achter de Muntschouwburg, is uniek in Brussel vanwege de taal die aan de toog wordt gesproken. Zowel de gasten als de barmannen spreken Nederlands. Of, zoals ze zelf zeggen, Brussels. ""Overdag komen hier veel Vlaamse ambtenaren"", zegt barman Dimitri Oosterlinck. ""'s Avonds en in het weekeinde zit het vol met Nederlandstalige Brusselaars."" Café -Dada behoort tot een uitstervende soort. Nederlandstalige cafés zijn in Brussel op de vingers van één hand te tellen. Een pintje bestellen lukt in de meeste kroegen nog wel in het Nederlands, maar wie een praatje wil maken, moet Frans spreken. ""Slechts één op de tien inwoners van Brussel spreekt thuis uitsluitend Nederlands"", zegt onderzoeker Rudi Janssens van de Vrije Universiteit Brussel. ""De helft daarvan komt oorspronkelijk uit Vlaanderen, de rest is echte Brusselaar."" Juist die laatste groep, te vinden in cafés als Dada, houdthet Nederlands in de officieel tweetalige stad levendig. ""Vlamingen die in Brussel komen wonen spreken meestal Frans met vrienden"", aldus Janssens. ""De Nederlandstalige Brusselaar heeft een sociaal netwerk met voornamelijk N ederlandssprekenden."" Hoe uniek Dada ook moge zijn, binnenkort valt het doek voor de kroeg. Dada moet wijken voor de achterbuurman, een cultureel centrum, opgericht door de Nederlandse en Vlaamse overheid. Staatssecretaris Medy van der Laan (Cultuur) en haar Vlaamse collega openden dat 'Vlaams-Nederlands Huis' deze zomer. De komende jaren moet het flink worden verbouwd en uitgebreid. De achterbuurman, Café Dada, zal daar de dupe van zijn. ""Dat gebouwtje moet wijken"", zegt Mare van den Broeke, medewerker van de Vlaamse",Is not about food
641,Is not about food,"Droombaan voor 1,5 euro per uur Werken voor 1,5 euro per uur naast je uitkering? In Nederland ondenkbaar, in Duitsland straks verplicht. Oost-Duitse werklozen staan er zelfs voor in de rij. Van onze correspondent Arjan Paans NEURUPPiN-De wasbeertj es in de dierentuin Kunsterspring wrijven zich in de klauwen en kijken nieuwsgierig hoe hun buitenverblijf wordt opgeknapt. De dierentuin heeft sinds twee weken de beschikking over klusjesmannen, die deel uitmaken van een proefproject om langdurig werklozen weer in het arbeidsproces te krijgen. Bemd Weber (50) is één van hen. De werkloze kok verzorgde ten tijde van de DDR dagelijks 1200 maaltijden in de keuken van het stadje ten noorden van Berlijn. Na de val van de muur verdween de meeste werkgelegenheid uit Neuruppin en daarmee ook de noodzaak van een centrale keuken. Weber werd werkloos en met hem bijna24procent van de plaatselijke beroepsbevolking. Aan hun uitzichtloze situatie lijkt nu een einde te komen. Niet omdat er nieuwe industrie naar de streek trekt, maar omdat de regering zich het lot van de streek ten noorden van Berlijn aantrekt. Neuruppin is uitverkoren om als eerste regio te beginnen aan een project om langdurig werklozen weer in het arbeidsproces te helpen. Voor anderhalve euro per uur worden sinds 1 oktober 140 werklozen als klusjesman- of vrouw ingezet bij overheidsprojecten. In heel Duitsland worden het komende jaar 600.000 van deze banen gecreëerd. Onder het werk vallen bij voorbeeld het schoonmaken van parken, klein onderhoud aan gebouwen en conciërgewerkzaamheden. Voorwaarde is dat de 'i euro jobber' een aanvullende kracht is, die geen bestaande werkgelegenheid bedreigt. Werkverschaffing heette dat vroeger denigrerend, maar voor de werklozen van Neuruppin is het pro j eet een geschenk uit de hemel. ""Ik zie het als een kans weer aan de slag te komen"", zegt Weber. ""De 180 euro per maand die ik bijverdien, zijn niet niks. Kan ik volgend jaar mooi op visvakantie."" Zijn collega, de werkloze timmerman Die",Is not about food
563,Is not about food,"EN VERDER... H}:**1 Z@ppsport Nederland 3 - Toptennisser Martin Verkerk helpt tennisfanaat Hosseen om diens backhand te verbeteren. Hosseen oefent elke dag aan de overkant van zijn huis tegen een muurtje. Hij heeft moeite met het plaatsen en scoren via zijn backhand. Hosseen hoopt dat wonderdokter Verkerk uitkomst biedt. HIEK1 Eten bij de Buren Nederland 3 - Nieuwe, gedramatiseerde serie over koken, waarbij Pien vanuit haar bovenwoning in de Tweede Tuindwarsstraat door haar verrekijker ziet wat de buren koken. Vandaag de eerste van acht afleveringen: de twee Turken Ali Cifteci en Vefa öcal maken een lams-ovenschotel, terwijl de huismeester met hen praat over het leven van Turken in Nederland. >[*^ Animal Emergency Net5 - Over de hectische werkomstandigheden van een grote dieren- en veeartsenpraktijk in Groot-Brittannië, met bijzondere spoedgevallen en gecompliceerde operaties. Paarden, koeien, schapen, honden, katten, cavia's en parkieten met klachten over hun gezondheid kunnen bij de praktijk terecht. Panna Knock Out TV Veronica - De beste straatvoetballers van Nederland proberen elkaar met de spectaculairste trucs en schijnbewegingen te vernederen. De ontstaansgeschiedenis van Panna wordt toegelicht. MIMI Lakeside Darts Championships SBS 6 - Raymond van Bameveld verdedigt zijn titel. Van Bameveld versloeg eerder in de kwartfinale zijn tegenstander, de Brit John Walton, op indrukwekkende wijze met een gemiddeld puntenaantal per pijl van 34,61: een toernooirecord.",Is not about food
682,Is about food,"Het groene goud? Eten Er is iets aan de hand met venkel. Juist nu we overal lezen over 'het witte goud' - de start van de aspergeoogst en het economisch belang van de teelt was links en rechts voorpaginanieuws - horen we veel over venkelknollen. Vooral geteeld in zuidoost Nederland lijken ze de gedoodverfde opvolger te worden voorde Koningin van de Velden. Een website (www.venkel.nl) geeft informatie en receptuur uit voornamelijk een Venkelspecial (!) van Tip Culinair. Vandaag een van mijn eigen favorieten: soep uit'venkelthuisland' Italië, met jonge bietjes. Hierin speelt het anijsachtige aroma van venkel (vaak benadrukt door een scheut Rirardl niet de hoofdrol maar een card) met de nootoroi maar een belangrijke bijrol. En soms komt venkel zo het beste uit de verf. Venkef-bietjes-sinaasappelsoep: 500 gram (in ca. 15 minuten gaargekookte) jonge bietjes oftewel bosbietjes (het vel eraf gestroopt); 1 rode ui, gesnipperd; 1 grote venkelknol; 2 eetlepels olijfolie; 1 liter groentebouillon (eventueel uit pot of blik of van 1 -2 tabletten); 4 eetlepels sinaasappelsap; versgemalen zwarte peper; selderiezout. Snijd 1 biet in lucifergrote stokjes. Pureer de rest in groentezeef of keukenmachine. Verwijder de buitenste draderige schillen van de venkel, bewaar wat groen ter garnering en hak de venkel fijn. Bak ui en venkel langzaam glazig in de olie in een stevige soeppan. Verhit de bouillon, giet erbij en laat de soep zachtjes 3 minuten ko_ ken.Voegdebietenpureetoeen warm de soep door. Proef of er nog(selderie)zoutbij moet. Breng hem op smaak met grof gemalen peper, sinaasaappelsap en eventueel meer zout. Garneer met de 'bietjeslucifers' en venkelgroen en serveer met crostini: schijven Italiaans brood, besmeerd met goede olijtolie en Knorlookpulp en in de oven bros en lichtknapperig geroosterd. ALMAHUISKEN O www.almahuisken.nl",Is about food
709,Is about food,"'Aziaat en Amerikaan verzot op fastfood' Van een onzer verslaggevers Diemen - In Azië en de Verenigde Staten is men verzot op fastfoodmaaltijden. Driekwart van de consumenten op deze werelddelen zegt minstens één keer per week fast te eten. Minder dan de helft van de Nederlanders haalt de snelle hap slechts één keer per maand. Dat is gebleken uit onderzoek door het bureau AC Nielsen. Meer dan 14.000 consumenten in 28 landen werden ondervraagd. In Nederland gaf 25 procent van de ondervraagden aan dat de fastfood de avondmaaltijd vervangt. De Nederlanders zeiden vooral te kiezen voor afmaaltijden, omdat zij geen tijd hebben om voor een 'echte' of 'eigen' maaltijd te kiezen. Hamburgergigant McDonald's blijkt overigens het populairst onder afhaalrestaurants. Meer dan de helft van de Amerikaanse respondenten, 54 procent, zegt een voorkeur te geven aan deze keten. Driekwart van de Europeanen, 75 procent, gaat er ook het liefst een burger halen, net als 64 procent van de Aziaten. In Nederland gaf 81 procent van de ondervraagden aan voor de Amerikaanse formule te kiezen.",Is about food
249,Is about food,"Eet meer vis Eten Van het Nederlands Visbureau moeten we veel meer vis eten. Onze consumptie is één van de laagste van Europa en komt neer op 1 vismaaltijd in de drie weken. De top vijf van vorig jaar (gemeten naar verkoop bij de visspeciaalzaak en supermarkt): 5. kabeljauw; 4. lekkerbek; 3. garnalen; 2. gerookte zalm en 1. zoute haring. Het visbureau geeft gratis receptenfoldertjes uit, mede gefinancierd uit EU-gelden, om ons te laten wennen aan het bakken van een kabeljauwfilet. Op vinnige toon schrijft men hoe snel dat gaat: ,,De meeste tijd voor de bereiding van de recepten gaat zitten in het snijden van de groenten en het toevoegen van ingrediënten, de vis zelf is in enkele minuten klaar"". Een curieuze uitspraak omdat in alle folderrecepten slechts kant-en-klare groente en sauzen uit potjes worden gebruikt. En kennelijk is het Elzaswijnwezen nauw gelieerd aan het Visbureau, want er komt geen Chardonnay of Chianti bij de wijntips voor. De aardigste suggestie is een maal voor twee personen: 100 gram gerookte zalmblokjes; 200 gram spaghetti; 225 gram doperwtjes (diepvries); 1 kleine ui; zout, peper, olijfolie; 2 teentjes knoflook; 6 eetlepels slag- I room; 4 eetlepels fijngehakte ba- ■silicum; 2 partjes citroen. Kook de pasta en de doppers samen gaar in ruim kokend water met zout en een scheutje olie. Giet de pasta en doperwten af, laat ze uitlekken en voeg peper toe. Bak ondertussen de ui en de 1 knoflook circa 5 minuten op laag vuur. Voeg spaghetti, doperwtjes en room toe en meng alles goed. Breng het gerecht verder op smaak met zout en peper. Haal de pan van het vuur en meng de zalm en het basilicum erdoor. Schep de spaghetti in 2 warme diepe borden, leg de citroenparten erop en knijp die aan tafel uit. | ' Lekker met een gemengde sala- I de', staat er bij. En natuurlijk: 'Serveer met een Alsace Riesling, I droge zuivere, witte wijn. Gastro- > nomische wijn bij uitstek.'Tjon- |j geAlma Huisken ;",Is about food
105,Is about food,"Room ETENI Van het een komt het ander. Van melk maak je room, slankroom, crème fraiche, halfvolle crème fraiche, zure room, roomkaas en daarvan weer allerlei varianten die zich goed houden bij verhitting of aardig zijn voor de lijn. Zuivelbedrijf Campina bracht zoveel roomsoorten op de markt dat het de firma noopte tot het samenstellen van enkele kookboekjes, als 'kook-idee' verkrijgbaar, onder meer in een deeltje 'groenten en aardappels'. Ik werd nauwelijks aangetrokken door de fotografie, en wilde het presentie-exemplaar al bij 'niet urgent, later te lezen' archiveren, tot ik zag wie de recepten verzorgden: José van Mil en Nadia Zerouali; u kent ze mogelijk uit de glossy Nouveau. De dames leveren kwaliteit, dus koos ik (toch) een 'typisch Hollands' gerecht: spinazie a la crème, hier met room en jonge kaas. Het staat u uiteraard geheel vrij room naar eigen merkvoorkeur en inzicht te gebruiken. (Mijn 'inzichten' vindt u als suggestie tussen haakjes). Voor 4 personen: 1,5 kg verse bladspinazie; zout en versgemalen (zwarte) peper naar smaak; 1 pakje room culinair (of 2 dl andere room van koe, of sojaboon); nootmuskaat, versgeraspt, naar smaak; 100 gram jonge kaas in blokjes (neem graskaas, jonge geit of zachte Kernhem). Was de spinazie grondig, verwijder (al te) dikke steeltjes. Verwarm de spinazie met aanhangend water en wat zout op hoog vuur in een grote pan (geen aluminium) en laat de groente in ca. 5 (of korter) minuten slinken. Schep de spinazie regelmatig om. Giet het overvollige vocht af, roer de room erdoor en warm het geheel nog 1 minuut door. Breng de spinazie op smaak met zout (karig, er volgt nog kaas!), peper en nootmuskaat. Schep de kaasblokjes erdoor en serveer de spinazie op 4 voorverwarmde borden. (Lekker met rösti). Alma Huisken Ü",Is about food
155,Is not about food,"Delftsblauw in de kampong WERELDREIZIGSTER Mathilde Boersema (23) reist voor het Algemeen Dagblad een halfjaar over de wereld. Ze wordt gestuurd door de lezers: u kunt haar volgende opdracht bepalen op www.ad.nl/wereldreis . Ze is nu onderweg naar Bangkok na een weekje op het Indonesische eiland Sumatra. M oedendag mevrouw. • f _ Kan ik u helpen?"" De medicijnmannen schijnen tot leven te zijn gekomen. Vanuit het niets beginnen de houten beelden in de toko te spreken. Als ik een blik achter de toonbank werp, zie ik de buikspreker. Zittend op de grond, knutselend aan houten latjes. ""U spreekt goed Nederlands"", is mijn eerste reactie. ""Ja mevrouw, dat heb ik op school geleerd."" Op mijn vraag of hij even tijd heeft om te praten, klautert de man overeind. ""Kom maar mee. Dan gaan we even zitten."" De toko blijft onbemand achter als de heer J. Sirait (76 jaar) me meeneemt naar achteren. Naar het balkon waar twee rode stoelen op bezetting wachten. De zittingen hebben meer scheuren dan stof, maar het uitzicht over het grootste kratermeer ter wereld is formidabel. ""Ik ben nog de enige hier die Nederlands spreekt. De anderen zijn allemaal al overleden."" Ja, dat heb ik gemerkt. Gisteren de hele dag over Samosir gescooterd, van 'kantor pos' tot 'polisi', maar geen oudere Batakker te vinden die mijn taal begrijpt. Tussen de rijstvelden voelde ik me net een medewerker van Vermist. Eén hoteleigenares zou nog Nederlands spreken, maar zij is een paar dagen van het eiland. Dan maar met de boot naar Parapat, de kampong aan de overkant. ""Ik heb zeven jaar op de Christelijke Hollandse Inlandse School gezeten. Daar leerden we de taal. We vierden zelfs de verjaardag van de koningin. Rood, wit, blauwe kleuren en we zongen het Wilhelmus."" Feilloos worden de geboortedata van heel het Koninklijk Huis genoemd. Die werden er goed ingepeperd, destijds. De heer Sirait vertelt over het 'Hollands programma' op school. Eén kwartier voor straf op één been staan. Of wat te denken van 1000 regels 'Ik moet",Is not about food
10,Is about food,"TIJDSCHRIFTEN Goed nieuws voor culifreaks: er is alweer een nieuw kooktijdschriff. Kookgedachten, een halfjaarlijks culinair magazine dat 3,95 euro kost, is een initiatief van de Venlose chefkok Eric Swaghoven, die eerder het kookboek Kookgedachten uitbracht. Hij wil meer bieden dan alleen recepten, vandaar dat Kookgedachten ook aandacht besteedt aan 'de verhalen achter de ingrediënten, de culinaire voorkeuren van vip's en de gang van zaken achter de schermen'. Klinkt als een loffelijk streven, maar of Kookgedachten dat alles ook waarmaakt? Oké, Normaalvoorman Bennie Jolink wordt aan de tand gevoeld over zijn smaakbeleving ('Op mijn verzoek maakt mijn vrouw nooit vis klaar. Ik vind het namelijk niet prettig wanneer ik het eten op heb en de keuken nog naar vis smaakt.'). En dankzij een interview met slager Fred Schouten weten we nu dat Duitsers dé worstspecialisten van Europa zijn. Maar of de culi's van Nederland daar nu op zitten te wachten? Het redactionele gedeelte van Kookgedachten doet, om in stijl te blijven, wat oudbakken aan, eerlijk gezegd. Dat geldt niet alleen voor de interviews, maar ook voor rubrieken als Weetjes ('Wist u waarom vet niet ongezond is?'), Toptips ('Zet kommetjes naast de borden zodat uw gasten hun visgraatjes ongezien kwijt kunnen') en Fabels ('Boen champignons nooit met water schoon'). Dat weten we JAQUELINE STORM toch allang? Bovendien is het nogal irritant dat de schrijvers van de artikelen in Kookgedachten wel heel vaak 'ik' gebruiken, maar dat hun namen nergens zijn te vinden. Dan de recepten. Waar de artikelen haast té simpel en té vanzelfsprekend zijn, slaat de receptuur in Kookgedachten weer door naar de andere kant. Weet bijvoorbeeld iemand watje precies onder komkommerpulp moet verstaan? Het is iets van gepureerde komkommer, begrijpen we, maar moeten de zaden er nu juist in of uit? Wat is fleur de sel? Waar vind je arrowroot? Hoe maak je tempurabeslag? En wat zijn zeeduivels op de graad - of is het laatste geval gewoon een typisc",Is about food
148,Is about food,"Berbers barbecuen Een zomeravond mee-eten meteen Marokkaanse familie betekent vis, rundvlees, zoete muntthee en dito koekjes, maar vooral 1 gezelligheid. Berbers uit Marokko geven het schoolvoorbeeld van een i knusse avond. Want het 1 enige dat je eigenlijk nodig 1 hebt is goed gezelschap, idoor janet van der (VAART Aan het Vlaardingse surfhaeer ' De Krabbeplas' zwaait Mohamed Maadane (37) met een emmer. ,,Dit is een typisch Marokkaanse barbecue"", [ zegt hij lachend. De emmer is ; deels gevuld met beton en heeft aan de onderkant een opening om vuur in te maken. Bovenop I past een rooster of een pan. ""Mohamed is de kok van vanavond"", roept gastheer Jihad Benseamar (23). Hij komt hier 1 regelmatig bijeen met vrienden 1 en familie om samen te eten en I lekker buiten te zijn. ""Wij zijn Berbers en komen uit het rifge1 bergte in Marokko. De mensen I kookten daar vroeger altijd zoals wij nuhier doen. Zonder stroom of gas en lekker buiten"", vertelt hij. ""Dit is veel simpeler dan in de keuken staan"", valt Mohamed hem bij. Maar al is Mohamed vani avond verantwoordelijk voor het 1 eten, iedereen helpt mee.Jihad maakt de inktvis klaar, zusje i Dounia (14) ontfermt zich over ide sardientjes en het snijwerk. En broertje Faozi (19) en zijn 'vriendin Dicarda (19) halen met Ji's auto theedoeken en meer water van huis, terwijl Mohamed Essakaali (27) druk bezig is met Marokkaanse worstjes. ""Sosit noemen wedat. Het zijngewoon Marokkaanse frikadellen"", grapt Mohamed Maadane. Als de gerechten klaar zijn, lakt iedereen gemakkelijk in de kussens op het kleed. ""We doen het gewoon op z'n Marokkaans. Dus eten met de handen"", klinkt er. En zo hoort het. Met z'n allen ophetkleed, Marokkaans brood, fruit en frisdrank bij de hand en lekker smullen van elk gerecht. ! Jihad komt regelmatig met een clubje naar dit surfmeertje, om het gevoel van zijn vaderland op te roepen. Rijkdom Afspreken doen ze nooit. ""Het gaat meestal spontaan"", zegt Dounia. ""Er wordt heen en weer gebeld en wie kan, die komt. D",Is about food
